subject,block,trial,algo,task,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,possible_correct,mean_block_regret,mean_block_correct
0,2,2,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,2,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,3,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,4,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,4,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,4,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,5,uvfa,1,5,10.0,False,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,6,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,6,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,6,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,5.67,0.53
0,2,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,5.67,0.53
0,2,7,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,True,1.1102230246251565e-16,0.0,0.0,20.0,1,5.67,0.53
0,2,8,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
0,2,8,uvfa,0,6,0.0,True,False,0,0.6666666666666666,0.0,0,True,0.0,0.0,0.0,20.0,1,5.67,0.53
